transaction_id,customer_id,transaction_date,amount,category,region,cust_amt_mean,cust_amt_std,cust_txn_count,day,txns_that_day,z_score,flag_amount_anomaly,flag_high_amount,flag_velocity,flag_risky_category,risk_score,risk_level
1,1,2025-11-01,15.94,Fashion,Midwest,23.606666666666666,5.10722886374467,6,2025-11-01,1,-1.5011402212834049,0,0,0,0,0,Low
2,1,2025-02-18,21.17,Travel,Midwest,23.606666666666666,5.10722886374467,6,2025-02-18,1,-0.4771015225035512,0,0,0,1,10,Low
3,1,2025-07-20,27.48,Fuel,Midwest,23.606666666666666,5.10722886374467,6,2025-07-20,1,0.7584021465788336,0,0,0,0,0,Low
4,1,2025-07-24,20.97,Fuel,Midwest,23.606666666666666,5.10722886374467,6,2025-07-24,1,-0.5162617021892059,0,0,0,0,0,Low
5,1,2025-12-08,29.53,Grocery,South,23.606666666666666,5.10722886374467,6,2025-12-08,1,1.1597939883567878,0,0,0,0,0,Low
6,1,2025-09-15,26.55,Dining,West,23.606666666666666,5.10722886374467,6,2025-09-15,1,0.5763073110405423,0,0,0,0,0,Low
7,2,2025-07-06,13.25,Travel,Midwest,69.42777777777778,124.2434536281266,9,2025-07-06,1,-0.4521588553544529,0,0,0,1,10,Low
8,2,2025-12-05,21.21,Electronics,Northeast,69.42777777777778,124.2434536281266,9,2025-12-05,1,-0.388091093492125,0,0,0,1,10,Low
9,2,2025-07-21,24.39,Electronics,Midwest,69.42777777777778,124.2434536281266,9,2025-07-21,1,-0.362496183602401,0,0,0,1,10,Low
10,2,2025-02-11,55.73,Fuel,Northeast,69.42777777777778,124.2434536281266,9,2025-02-11,1,-0.1102494930539892,0,0,0,0,0,Low
11,2,2025-05-21,25.3,Dining,Midwest,69.42777777777778,124.2434536281266,9,2025-05-21,1,-0.355171854042763,0,0,0,0,0,Low
12,2,2025-04-23,22.63,Electronics,West,69.42777777777778,124.2434536281266,9,2025-04-23,1,-0.376661919893569,0,0,0,1,10,Low
13,2,2025-12-18,16.35,Grocery,South,69.42777777777778,124.2434536281266,9,2025-12-18,1,-0.4272078425688729,0,0,0,0,0,Low
14,2,2025-09-21,398.6,Travel,Northeast,69.42777777777778,124.2434536281266,9,2025-09-21,1,2.6494130081691742,0,0,0,1,10,Low
15,2,2025-11-08,47.39,Fashion,West,69.42777777777778,124.2434536281266,9,2025-11-08,1,-0.1773757661610011,0,0,0,0,0,Low
16,3,2025-06-15,40.72,Dining,South,75.56899999999999,153.3782236788811,10,2025-06-15,1,-0.2272095683736778,0,0,0,0,0,Low
17,3,2025-05-16,15.48,Pharmacy,South,75.56899999999999,153.3782236788811,10,2025-05-16,1,-0.3917700867745395,0,0,0,0,0,Low
18,3,2025-07-05,43.4,Fuel,Midwest,75.56899999999999,153.3782236788811,10,2025-07-05,1,-0.2097364229967242,0,0,0,0,0,Low
19,3,2025-08-02,28.57,Travel,West,75.56899999999999,153.3782236788811,10,2025-08-02,1,-0.3064255073027772,0,0,0,1,10,Low
20,3,2025-06-20,22.66,Dining,South,75.56899999999999,153.3782236788811,10,2025-06-20,1,-0.3449577047571787,0,0,0,0,0,Low
21,3,2025-09-07,16.89,Fuel,South,75.56899999999999,153.3782236788811,10,2025-09-07,1,-0.3825771259605453,0,0,0,0,0,Low
22,3,2025-04-19,42.36,Electronics,Midwest,75.56899999999999,153.3782236788811,10,2025-04-19,1,-0.2165170465758405,0,0,0,1,10,Low
23,3,2025-09-16,11.14,Travel,Midwest,75.56899999999999,153.3782236788811,10,2025-09-16,1,-0.4200661505566211,0,0,0,1,10,Low
24,3,2025-09-22,23.63,Electronics,South,75.56899999999999,153.3782236788811,10,2025-09-22,1,-0.3386334693035798,0,0,0,1,10,Low
25,3,2025-06-11,510.84,Fashion,Midwest,75.56899999999999,153.3782236788811,10,2025-06-11,1,2.8378930826014845,0,0,0,0,0,Low
26,4,2025-03-27,35.75,Electronics,Northeast,23.8625,12.235141669252,4,2025-03-27,1,0.9715866249325372,0,0,0,1,10,Low
27,4,2025-03-19,30.84,Grocery,Northeast,23.8625,12.235141669252,4,2025-03-19,1,0.5702835478836406,0,0,0,0,0,Low
28,4,2025-12-07,8.06,Travel,Midwest,23.8625,12.235141669252,4,2025-12-07,1,-1.2915665733330322,0,0,0,1,10,Low
29,4,2025-10-07,20.8,Grocery,West,23.8625,12.235141669252,4,2025-10-07,1,-0.2503035994831457,0,0,0,0,0,Low
30,5,2025-06-02,25.78,Grocery,West,33.386,12.681756976066051,10,2025-06-02,1,-0.5997591669951258,0,0,0,0,0,Low
